City_id;City;Country;Population
0;Алат;Узбекистан;533414
1;Калмыково;Россия;1886543
2;Пурвис;США;3727296
3;Элма;США;1597324
4;Саут-Майами-Хейгтс;США;9655408
5;Дубоссары;Молдова;5824602
6;Челмсфорд;Великобритания;8152889
7;Кандалакша;Россия;2890635
8;Тучково;Россия;3928379
9;Фалкирк;Великобритания;3996202
10;Невада;США;1229904
11;Пестяки;Россия;2569612
12;Хороль;Россия;6912816
13;Силертон;США;7094060
14;Ривербанк;США;3074254
15;Ниагара-Фоллс;Канада;8711365
16;Назарово;Россия;2221840
17;Берген;Норвегия;4640210
18;Деденево;Россия;4721771
19;Ларедо;США;6695191
20;Ингичка;Узбекистан;6460105
21;Малверн;США;6907823
22;Сент-Джозеф;США;7368085
23;Порту-Алегри;Бразилия;7204063
24;Чуднов;Украина;8866504
25;Диерсбург;США;963406
26;Сомбререт;Мексика;276988
27;Чигирин;Украина;8482955
28;Юрбаркас;Литва;760364
29;Варва;Украина;4822792
30;Ибараки;Япония;5951967
31;Свиссвейл;США;5113628
32;Оак Хилл;США;1247335
33;Купавна;Россия;9732733
34;Леониа;США;1068546
35;Олинда;Бразилия;8514424
36;Чайковский;Россия;9059872
37;Атырау(Гурьев);Казахстан;194958
38;Коммерк;США;5060131
39;Бородино;Россия;4468640
40;Декатур;США;1131555
41;Норт-Вэлли-Стрим;США;7858207
42;Анахейм;США;3055253
43;Ланчхути;Грузия;8779780
44;Барли;США;1067649
45;Фукуиама;Япония;3208457
46;Тундер Бэй;Канада;1754267
47;Пулавы;Польша;8509750
48;Монктон;Канада;5945865
49;Нарын;Киргызстан;4874551
50;Ушачи;Беларусь;6487632
51;Кордоба;Испания;9433966
52;Паранагуа;Бразилия;9939407
53;Олаварриа;Аргентина;8296911
54;Згуровка;Украина;4343725
55;Цюрих;Швейцария;5630527
56;Приенай;Литва;3659282
57;Косов;Украина;8004643
58;Ибреси;Россия;8859808
59;Йолит;США;3311588
60;Хьюстон;США;1805258
61;Суровикино;Россия;3765678
62;Артемовск;Украина;5561315
63;Сагареджо;Грузия;2413080
64;Уайт-Халл;США;3505470
65;Джакарта;Индонезия;371429
66;Вест-Вью;США;2985607
67;Хабез;Россия;5007365
68;Винь;Вьетнам;8584693
69;Хамилтон;США;4434015
70;Усть-Джегута;Россия;5878511
71;Восточный;Россия;4522804
72;Балыкчи;Узбекистан;445856
73;Харрисбург;США;7024577
74;Клинтон;США;6062097
75;Балаклава;Украина;6446257
76;Балхаш;Казахстан;1636696
77;Рогерсвилл;США;8219888
78;Горна Джумая;Болгария;9775113
79;Белиз-Сити;Белиз;6713087
80;Тируваннамалаи;Индия;1079010
81;Шимск;Россия;6066310
82;Николаевка;Украина;7535594
83;Денхам-Спрингс;США;3595180
84;Мосул;Ирак;3433103
85;Касугаи;Япония;1834838
86;Пунта-Альта;Аргентина;7454371
87;Рока;США;5415391
88;Сьерра-Виста;США;5190079
89;Маастрихт;Голландия;5593458
90;Керфилли;Великобритания;9135042
91;Старая Русса;Россия;9959420
92;Старощербиновская;Россия;2807983
93;Плайнвью;США;2394107
94;Котельнич;Россия;1282658
95;Кельце;Польша;7535169
96;Бхаратпур;Индия;9258190
97;Науйойи-Акмяне;Литва;9804004
98;Топки;Россия;1525201
99;Вашингтон;США;826817
100;Ильинский;Россия;9933212
101;Ватер Валли;США;6475314
102;Кордова;США;6602147
103;Вортингтон-Спрингс;США;2305919
104;Марлборо;США;2784443
105;Искитим;Россия;1446069
106;Седар-Гров;США;1538607
107;Амалфи;Италия;9939685
108;Муезерский;Россия;4839229
109;Фриндсвилл;США;4376983
110;Данвилл;США;4367226
111;Кизнер;Россия;5355824
112;Скаудвиле;Литва;8069887
113;Будогощь;Россия;850961
114;Лето;США;5165593
115;Атами;Япония;8460657
116;Новый Афон;Грузия;2945893
117;Таловая;Россия;5551907
118;Лисбург;США;9310103
119;Кирьят-Ям;Израиль;5947901
120;Шахтинск;Казахстан;2660609
121;Шуманай;Узбекистан;7451364
122;Индепенденс;США;1850895
123;Эрзурум;Турция;5588811
124;Харст;США;7749116
125;Ирвинг;США;2413924
126;Дукштас;Литва;9367805
127;Рушвилл;США;606663
128;Мончегорск;Россия;5281936
129;Портадж-Лейкс;США;9206365
130;Вашингтон;США;2716822
131;Хорс-Кейв;США;7298513
132;Апалачикола;США;7494163
133;Кулунда;Россия;7454854
134;Биледжик;Турция;4970912
135;Прямицыно;Россия;9644025
136;Сан-Андрес-Тукстла;Мексика;1054209
137;Тират-Кармэль;Израиль;4059785
138;Кореличи;Беларусь;7302735
139;Тикси;Россия;6240481
140;Боровая;Украина;8841671
141;Трентон;США;7395892
142;Гурли;США;7606083
143;Раинсвилл;США;7327170
144;Дашев;Украина;335007
145;Хартсбург;США;3927009
146;Куба;Азербайджан;9209243
147;Ойлдейл;США;9587966
148;Глазуновка;Россия;7765000
149;Ильпырский;Россия;6162101
150;Еланец;Украина;2929447
151;Хакенсак;США;8053358
152;Декатур;США;1304478
153;Нижний Ломов;Россия;5573788
154;Форествилл;США;3368331
155;Советский;Украина;905670
156;Шевченко;Казахстан;4871231
157;Джамбейты;Россия;2073819
158;Каммак-Виллидж;США;1351503
159;Гавр;Франция;9426877
160;Грузско-Зорянское;Украина;7722898
161;Велсен;Голландия;4714258
162;Хастингс;Новая Зеландия;8981827
163;МакИнтош;США;3570369
164;Бренхам;США;898521
165;Венчоу;Китай;2039872
166;Лебедянь;Россия;2914030
167;Тримбл;США;2170283
168;Дандальк;США;8382088
169;Демидов;Россия;498011
170;Индиан-Трейл;США;8092981
171;Володарка;Украина;8013632
172;Альвар;Индия;8821238
173;Ресистенсиа;Аргентина;19822
174;Паркланд;США;465153
175;Патерно;Италия;3811037
